year,month,day,raisin,simone,gagne
2019,11,24,17.625,9.875,NA
2019,11,30,17.375,9.75,NA
2019,12,07,17.5,9.875,NA
2019,12,12,17.75,10,NA
2019,12,15,17.875,10,NA
2019,12,19,17.8125,9.875,NA
2019,12,30,17.8125,9.875,NA
2020,01,11,17.5625,9.625,NA
2020,01,13,17.625,9.5625,NA
2020,01,19,17.9375,9.6875,NA
2020,01,22,17.875,9.8125,NA
2020,01,29,18,9.9375,NA
2020,02,03,17.3125,9.3125,NA
2020,02,06,17.375,9.625,NA
2020,02,13,17.4375,9.9375,NA
2020,02,18,17.25,9.25,NA
2020,02,25,17.3125,9.75,NA
2020,03,04,17.5,10.0625,NA
2020,03,10,17.5,10,NA
2020,03,13,17.5,9.9375,NA
2020,03,20,17.625,10.1875,NA
2020,03,24,17.5625,10.0625,NA
2020,03,30,17.875,10.0625,NA
2020,04,03,17.875,10.0625,NA
2020,04,06,17.8125,10.3125,NA
2020,04,10,17.8125,10.1875,NA
2020,04,17,17.9375,10.5,NA
2020,04,20,17.9375,10.5625,NA
2020,04,26,18.125,10.375,NA
2020,05,02,18.3125,10.375,NA
2020,05,06,18.1875,10.4375,NA
2020,05,12,18.375,10.375,NA
2020,05,16,18.375,10.5,NA
2020,05,20,18.4375,10.5625,NA
2020,05,22,18.5625,10.8125,NA
2020,05,23,18.3125,10.625,NA
2020,05,30,18.3125,10.5,NA
2020,06,04,18.3125,10.25,NA
2020,06,09,18.4375,10.5,NA
2020,06,10,18.1875,10.375,NA
2020,06,13,18.125,10.5625,NA
2020,06,16,18.4375,10.4375,NA
2020,06,18,18.5,10.4375,NA
2020,06,21,18.1875,10.4375,NA
2020,06,23,18.3125,10.5,NA
2020,07,12,18.5625,10.5,NA
2020,07,13,18.375,NA,NA
2020,07,14,18.375,NA,NA
2020,07,15,18.5,10.375,NA
2020,07,17,18.3125,10.75,NA
2020,07,18,18.5625,NA,NA
2020,07,20,18.625,10.4375,NA
2020,07,23,18.625,NA,NA
2020,07,24,18.5,10.5625,NA
2020,07,27,18.5625,10.5,NA
2020,07,29,18.375,10.5,NA
2020,07,31,18.4375,10.4375,NA
2020,08,02,18.5625,10.625,NA
2020,08,03,18.4375,10.5,NA
2020,08,04,18.5625,10.4375,NA
2020,08,06,18.5,10.5625,NA
2020,08,07,18.3125,10.375,NA
2020,09,01,18.5625,9.375,NA
2020,09,07,18.1875,9.9375,NA
